city,year,pollutant,sector,emissions
Shanghai,2012,bc,BUILDINGS,4247.6891994178295
Shanghai,2012,bc,POWER_INDUSTRY,41.222942024469376
Shanghai,2012,oc,BUILDINGS,19756.15168568492
Shanghai,2012,pm2_5,BUILDINGS,41539.54004627466
Shanghai,2012,pm2_5,POWER_INDUSTRY,896.9059362411499
Shanghai,2012,pm2_5,TRANSPORT,4920.273074150085
Shanghai,2012,so2,POWER_INDUSTRY,15286.230999469757
Shanghai,2013,bc,BUILDINGS,4498.774955034256
Shanghai,2013,bc,POWER_INDUSTRY,40.29147231578827
Shanghai,2013,oc,BUILDINGS,21430.13548719883
Shanghai,2013,pm2_5,BUILDINGS,44794.51769000292
Shanghai,2013,pm2_5,POWER_INDUSTRY,876.8034534454346
Shanghai,2013,pm2_5,TRANSPORT,4689.912325263023
Shanghai,2013,so2,POWER_INDUSTRY,14548.611761569977
Shanghai,2014,bc,BUILDINGS,4403.77548379451
Shanghai,2014,bc,POWER_INDUSTRY,38.95140394568443
Shanghai,2014,oc,BUILDINGS,21002.572835087776
Shanghai,2014,pm2_5,BUILDINGS,43855.983020722866
Shanghai,2014,pm2_5,POWER_INDUSTRY,844.7844715118408
Shanghai,2014,pm2_5,TRANSPORT,5962.747948884964
Shanghai,2014,so2,POWER_INDUSTRY,13713.432141304016
Shanghai,2015,bc,BUILDINGS,4370.2024995312095
Shanghai,2015,bc,POWER_INDUSTRY,36.43056287616491
Shanghai,2015,oc,BUILDINGS,21044.87985163927
Shanghai,2015,pm2_5,BUILDINGS,43857.424088060856
Shanghai,2015,pm2_5,POWER_INDUSTRY,803.6581299304962
Shanghai,2015,pm2_5,TRANSPORT,6432.310831546783
Shanghai,2015,so2,POWER_INDUSTRY,12186.52040618658
Shenyang,2010,bc,BUILDINGS,2313.8957937955856
Shenyang,2010,bc,POWER_INDUSTRY,34.90683764219284
Shenyang,2010,oc,BUILDINGS,10502.50438451767
Shenyang,2010,pm2_5,BUILDINGS,22103.005029678345
Shenyang,2010,pm2_5,POWER_INDUSTRY,745.0983963012695
Shenyang,2010,pm2_5,TRANSPORT,1844.621016478166
Shenyang,2010,so2,POWER_INDUSTRY,14242.596524238586
Shenyang,2011,bc,BUILDINGS,2145.964576601982
