city,year,pollutant,sector,lat,lon,emissions
Beijing,2010,OC,BUILDINGS,36.45,112.55,5.209210395812988
Beijing,2010,OC,BUILDINGS,36.45,112.65,7.508823871612549
Beijing,2010,OC,BUILDINGS,36.45,112.75,4.385187149047852
Beijing,2010,OC,BUILDINGS,36.45,112.85,5.077622413635254
Beijing,2010,OC,BUILDINGS,36.45,112.95,61.276187896728516
Beijing,2010,OC,BUILDINGS,36.45,113.05,57.423728942871094
Beijing,2010,OC,BUILDINGS,36.45,113.15,14.016202926635742
Beijing,2010,OC,BUILDINGS,36.45,113.25,6.7848920822143555
Beijing,2010,OC,BUILDINGS,36.45,113.35,43.6110954284668
Beijing,2010,OC,BUILDINGS,36.45,113.45,2.0377461910247803
Beijing,2010,OC,BUILDINGS,36.45,113.55,1.2377854585647583
Beijing,2010,OC,BUILDINGS,36.45,113.65,1.727602481842041
Beijing,2010,OC,BUILDINGS,36.45,113.75,24.93143081665039
Beijing,2010,OC,BUILDINGS,36.45,113.85,20.79593849182129
Beijing,2010,OC,BUILDINGS,36.45,113.95,13.70278263092041
Beijing,2010,OC,BUILDINGS,36.45,114.05,63.00554275512695
Beijing,2010,OC,BUILDINGS,36.45,114.15,164.8729705810547
Beijing,2010,OC,BUILDINGS,36.45,114.25,229.64126586914062
Beijing,2010,OC,BUILDINGS,36.45,114.35,82.48092651367188
Beijing,2010,OC,BUILDINGS,36.45,114.45,124.74227905273438
Beijing,2010,OC,BUILDINGS,36.45,114.55,80.43362426757812
Beijing,2010,OC,BUILDINGS,36.45,114.65,122.79924011230469
Beijing,2010,OC,BUILDINGS,36.45,114.75,73.08128356933594
Beijing,2010,OC,BUILDINGS,36.45,114.85,76.02861022949219
Beijing,2010,OC,BUILDINGS,36.45,114.95,118.45036315917969
Beijing,2010,OC,BUILDINGS,36.45,115.05,94.2619857788086
Beijing,2010,OC,BUILDINGS,36.45,115.15,80.76654815673828
Beijing,2010,OC,BUILDINGS,36.45,115.25,67.41638946533203
Beijing,2010,OC,BUILDINGS,36.45,115.35,67.52725219726562
Beijing,2010,OC,BUILDINGS,36.45,115.45,116.58076477050781
Beijing,2010,OC,BUILDINGS,36.45,115.55,59.33578109741211
Beijing,2010,OC,BUILDINGS,36.45,115.65,78.20391082763672
Beijing,2010,OC,BUILDINGS,36.45,115.75,75.44342041015625
Beijing,2010,OC,BUILDINGS,36.45,115.85,74.51404571533203
Beijing,2010,OC,BUILDINGS,36.45,115.95,415.83251953125
Beijing,2010,OC,BUILDINGS,36.45,116.05,124.24830627441406
Beijing,2010,OC,BUILDINGS,36.45,116.15,40.77228927612305
Beijing,2010,OC,BUILDINGS,36.45,116.25,38.923057556152344
Beijing,2010,OC,BUILDINGS,36.45,116.35,38.47350311279297
Beijing,2010,OC,BUILDINGS,36.45,116.45,37.05912399291992
Beijing,2010,OC,BUILDINGS,36.45,116.55,40.44400405883789
Beijing,2010,OC,BUILDINGS,36.45,116.65,61.90559005737305
Beijing,2010,OC,BUILDINGS,36.45,116.75,36.580928802490234
Beijing,2010,OC,BUILDINGS,36.45,116.85,35.47757339477539
Beijing,2010,OC,BUILDINGS,36.45,116.95,29.049957275390625
Beijing,2010,OC,BUILDINGS,36.45,117.05,43.153717041015625
Beijing,2010,OC,BUILDINGS,36.45,117.15,43.01329040527344
Beijing,2010,OC,BUILDINGS,36.45,117.25,13.103571891784668
Beijing,2010,OC,BUILDINGS,36.45,117.35,8.876866340637207
Beijing,2010,OC,BUILDINGS,36.45,117.45,16.209671020507812
Beijing,2010,OC,BUILDINGS,36.45,117.55,30.942676544189453
Beijing,2010,OC,BUILDINGS,36.45,117.65,31.54161834716797
Beijing,2010,OC,BUILDINGS,36.45,117.75,13.348817825317383
Beijing,2010,OC,BUILDINGS,36.45,117.85,149.2115936279297
Beijing,2010,OC,BUILDINGS,36.45,117.95,79.43423461914062
Beijing,2010,OC,BUILDINGS,36.45,118.05,33.93739318847656
Beijing,2010,OC,BUILDINGS,36.45,118.15,17.832252502441406
Beijing,2010,OC,BUILDINGS,36.45,118.25,2.151299238204956
Beijing,2010,OC,BUILDINGS,36.45,118.35,26.869552612304688
Beijing,2010,OC,BUILDINGS,36.45,118.45,105.17881774902344
Beijing,2010,OC,BUILDINGS,36.45,118.55,140.25958251953125
Beijing,2010,OC,BUILDINGS,36.45,118.65,34.85728073120117
Beijing,2010,OC,BUILDINGS,36.45,118.75,37.27490997314453
Beijing,2010,OC,BUILDINGS,36.45,118.85,63.383121490478516
Beijing,2010,OC,BUILDINGS,36.45,118.95,54.13245391845703
Beijing,2010,OC,BUILDINGS,36.45,119.05,47.094024658203125
Beijing,2010,OC,BUILDINGS,36.45,119.15,129.38616943359375
Beijing,2010,OC,BUILDINGS,36.45,119.25,242.9304962158203
Beijing,2010,OC,BUILDINGS,36.45,119.35,37.57612991333008
Beijing,2010,OC,BUILDINGS,36.45,119.45,23.53032684326172
Beijing,2010,OC,BUILDINGS,36.45,119.55,41.4398193359375
Beijing,2010,OC,BUILDINGS,36.45,119.65,27.09136199951172
Beijing,2010,OC,BUILDINGS,36.45,119.75,96.80426788330078
Beijing,2010,OC,BUILDINGS,36.45,119.85,70.59895324707031
Beijing,2010,OC,BUILDINGS,36.45,119.95,36.217281341552734
Beijing,2010,OC,BUILDINGS,36.45,120.05,31.813175201416016
Beijing,2010,OC,BUILDINGS,36.45,120.15,75.3985595703125
Beijing,2010,OC,BUILDINGS,36.45,120.25,37.96288299560547
Beijing,2010,OC,BUILDINGS,36.45,120.35,41.41258239746094
Beijing,2010,OC,BUILDINGS,36.45,120.45,130.23275756835938
Beijing,2010,OC,BUILDINGS,36.45,120.55,52.166847229003906
Beijing,2010,OC,BUILDINGS,36.45,120.65,43.700931549072266
Beijing,2010,OC,BUILDINGS,36.45,120.75,20.056203842163086
Beijing,2010,OC,BUILDINGS,36.45,120.85,27.187152862548828
Beijing,2010,OC,BUILDINGS,36.45,120.95,15.62193489074707
Beijing,2010,OC,BUILDINGS,36.45,121.05,0.002462145406752825
Beijing,2010,OC,BUILDINGS,36.45,121.15,0.0
Beijing,2010,OC,BUILDINGS,36.45,121.25,0.0
Beijing,2010,OC,BUILDINGS,36.45,121.35,0.0
Beijing,2010,OC,BUILDINGS,36.45,121.45,0.0
Beijing,2010,OC,BUILDINGS,36.55,111.45,9.021710395812988
Beijing,2010,OC,BUILDINGS,36.55,111.55,12.171453475952148
Beijing,2010,OC,BUILDINGS,36.55,111.65,57.05180740356445
Beijing,2010,OC,BUILDINGS,36.55,111.75,184.00172424316406
Beijing,2010,OC,BUILDINGS,36.55,111.85,18.238277435302734
Beijing,2010,OC,BUILDINGS,36.55,111.95,0.013494095765054226
Beijing,2010,OC,BUILDINGS,36.55,112.05,8.065414428710938
Beijing,2010,OC,BUILDINGS,36.55,112.15,19.273273468017578
Beijing,2010,OC,BUILDINGS,36.55,112.25,14.904839515686035
Beijing,2010,OC,BUILDINGS,36.55,112.35,35.48242950439453
Beijing,2010,OC,BUILDINGS,36.55,112.45,0.2194197028875351
Beijing,2010,OC,BUILDINGS,36.55,112.55,3.5265822410583496
Beijing,2010,OC,BUILDINGS,36.55,112.65,9.071439743041992
Beijing,2010,OC,BUILDINGS,36.55,112.75,8.087848663330078
Beijing,2010,OC,BUILDINGS,36.55,112.85,10.87169361114502
Beijing,2010,OC,BUILDINGS,36.55,112.95,39.46832275390625
Beijing,2010,OC,BUILDINGS,36.55,113.05,116.39486694335938
Beijing,2010,OC,BUILDINGS,36.55,113.15,3.1059720516204834
